,Movie_name,ID,Rating,CoverPic,Generic,Year,path
0,Baahubali 2 The Conclusion , 4849438,8.4,https://ia.media-imdb.com/images/M/MV5BODIxNGJjOTYtZDY3YS00N2YwLWEzMjUtNTY0OGE3MzgyNDRiXkEyXkFqcGdeQXVyMjQ1Mzg2ODE@.jpg,"['Action', 'Drama', 'Fantasy']",2017,/media/putus/BackUp/System Volume Information/Baahubali 2 The Conclusion (2017) www.Hetlerbazar.wapka.me DesiSCR MP3 (1).mkv
1,Pirates of the Caribbean Dead Men Tell No Tales , 1790809,6.6,https://ia.media-imdb.com/images/M/MV5BMTYyMTcxNzc5M15BMl5BanBnXkFtZTgwOTg2ODE2MTI@.jpg,"['Action', 'Adventure', 'Fantasy']",2017,/media/putus/BackUp/Pirates of the Caribbean Dead Men Tell No Tales (2017) 720p HDTS x264 [Dual-Audio][Hindi - English] ESubs - Downloadhub/Pirates of the Caribbean Dead Men Tell No Tales (2017) 720p HDTS x264 [Dual-Audio][Hindi -.mkv
2,Her , 1798709,8.0,https://ia.media-imdb.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@.jpg,"['Drama', 'Romance', 'Sci-Fi']",2013,/media/putus/BackUp/Games/Her (2013) [1080p]/Her.2013.1080p.BluRay.x264.YIFY.mp4
3,Despicable Me 2 , 1690953,7.4,https://ia.media-imdb.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",2013,/media/putus/BackUp/Despicable Me 2 (2013)/Despicable.Me.2.2013.720p.BluRay.x264.YIFY.mp4
4,Despicable Me , 1323594,7.7,https://ia.media-imdb.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@.jpg,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",2010,/media/putus/BackUp/Despicable Me (2010)/Despicable.Me.2010.720p.BluRay.x264.YIFY.mp4
